Count #,Lat,Long,Street,Month,Type,Direction,Total_Daily,Daily_Avg,Daily_Percent,AM Peak Total,AM Peak Avg,AM Peak %,PM Peak Total,PM Peak Avg,PM Peak %,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 1,Total AM Peak,Total PM Peak,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 2,Total AM Peak,Total PM Peak,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 3,Total AM Peak,Total PM Peak
1,42.345004,-71.052646,A Street north of Iron Street,June,Bike,Total,2447,816,6.40%,494,165,8.60%,633,211,12.60%,3,0,0,0,3,17,37,82,96,50,19,25,25,31,22,23,48,145,94,61,37,24,7,10,859,146,239,4,3,2,0,1,16,36,91,152,48,6,13,25,22,27,25,79,132,85,53,34,15,12,9,890,200,217,0,0,0,2,0,14,20,44,106,42,21,15,20,19,22,25,54,101,76,44,34,11,8,20,698,148,177
4,42.3475,-71.102118,Beacon Street east of Mountfort Street,June,Bike,Total,2658,886,3.30%,575,192,5.70%,715,238,6.40%,2,2,6,0,0,9,37,86,134,62,29,12,14,25,29,44,66,151,124,55,37,22,9,4,959,196,275,2,2,0,0,0,12,26,74,151,67,30,20,19,16,25,36,69,150,91,73,43,20,8,4,938,218,241,0,0,0,0,0,4,14,47,110,51,18,14,20,23,20,32,68,100,99,54,40,23,18,6,761,161,199
8,42.271149,-71.093784,Blue Hill Avenue north of Rexford Street,June,Bike,Total,137,46,0.20%,17,6,0.20%,18,6,0.20%,0,0,2,1,0,2,1,11,3,2,2,2,3,4,1,0,6,1,2,3,2,1,4,0,53,5,3,0,0,0,0,1,4,2,6,2,2,2,2,3,1,1,2,0,1,1,5,1,1,0,3,40,4,2,0,0,0,1,0,1,2,0,2,6,0,1,0,0,3,2,1,7,6,7,3,2,0,0,44,8,13
11,42.336933,-71.109369,Brookline Avenue south of Francis Street,June,Bike,Total,809,270,1.20%,151,50,2.00%,162,54,1.70%,1,0,0,0,0,6,20,11,26,11,3,9,10,11,12,15,18,25,25,20,8,7,2,4,244,37,50,1,1,0,0,1,10,20,19,30,17,10,7,5,12,17,9,22,29,21,22,15,8,2,2,280,47,50,0,1,0,1,0,6,9,24,49,18,13,7,6,11,11,10,13,34,28,16,9,7,6,6,285,67,62
13,42.357367,-71.128213,Cambridge Street east of Lincoln Street,June,Bike,Total,940,313,0.70%,172,57,1.10%,152,51,1.00%,8,0,0,0,1,4,3,24,41,18,15,9,8,11,11,7,29,36,33,27,13,10,3,5,316,59,69,9,3,1,0,1,9,15,30,36,26,21,12,11,14,10,10,26,23,30,24,11,10,12,7,351,62,53,2,2,1,0,1,10,8,21,24,27,17,6,11,11,9,18,32,15,15,14,10,6,8,5,273,51,30
16,42.310968,-71.114596,Centre Street north of Harris Avenue,June,Bike,Total,1608,536,3.80%,198,66,4.00%,315,105,6.40%,1,0,0,0,2,6,19,24,45,26,16,28,25,39,17,34,44,43,46,45,29,21,7,3,520,71,89,2,2,0,0,2,6,14,29,40,36,17,22,20,23,22,47,37,67,50,47,33,19,6,6,547,76,117,2,2,1,2,1,8,7,14,31,20,18,15,14,16,31,42,44,60,49,79,34,24,13,14,541,51,109
21,42.309143,-71.074006,Columbia Road south of Intervale Street,June,Bike,Total,232,77,0.20%,25,8,0.20%,40,13,0.30%,1,0,0,0,1,1,3,3,6,2,4,4,1,2,4,6,13,8,10,8,2,1,0,2,82,8,18,3,0,0,0,0,2,3,5,5,6,4,3,7,5,6,5,5,7,11,6,6,3,2,2,96,11,18,0,0,0,0,0,1,2,1,4,2,1,3,3,5,8,6,3,0,4,4,2,4,0,1,54,6,4
23,42.344238,-71.077171,Columbus Avenue west of Holyoke Street,June,Bike,Total,2989,996,9.30%,679,226,16.90%,770,257,16.20%,3,1,2,0,2,11,24,77,135,84,34,20,46,24,31,41,85,142,129,54,43,36,20,9,1053,219,271,6,1,0,0,1,10,28,64,168,78,39,33,24,26,27,31,76,161,114,61,53,29,27,11,1068,246,275,2,1,2,1,2,7,17,40,142,72,28,20,20,25,28,37,58,122,102,52,38,27,13,12,868,214,224
25,42.352847,-71.073843,Commonwealth Avenue east of Berkeley St,June,Bike,Total,2584,861,6.80%,684,228,12.70%,501,167,8.30%,7,3,1,0,3,10,27,83,165,81,40,21,37,20,20,31,60,89,84,48,25,19,16,2,892,246,173,1,0,0,1,1,13,27,75,167,82,31,36,39,37,34,25,64,105,69,57,34,27,8,7,940,249,174,1,0,0,1,2,6,13,41,122,67,24,32,45,21,28,33,53,89,65,40,28,19,10,12,752,189,154
26,42.349413,-71.100681,Commonwealth Avenue west of Silber Way,June,Bike,Total,3928,1309,9.00%,741,247,13.00%,802,267,12.40%,11,0,5,0,4,15,24,83,174,119,62,64,58,49,56,55,111,134,153,75,54,35,36,13,1390,293,287,10,3,2,3,4,14,40,81,159,97,72,48,48,52,56,69,91,175,112,100,67,44,22,16,1385,256,287,4,4,1,1,6,6,19,50,122,70,68,47,50,59,46,58,78,115,113,82,55,44,27,28,1153,192,228
