Count #,Lat,Long,Street,Month,Type,Direction,Total_Daily,Daily_Avg,Daily_Percent,AM Peak Total,AM Peak Avg,AM Peak %,PM Peak Total,PM Peak Avg,PM Peak %,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 1,Total AM Peak,Total PM Peak,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 2,Total AM Peak,Total PM Peak,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 3,Total AM Peak,Total PM Peak
1,42.345004,-71.052646,A Street north of Iron Street,June,MV,Total,35915,11972,n/a,5223,1741,n/a,4403,1468,n/a,89,67,62,48,118,431,598,762,890,798,575,553,518,542,629,737,713,705,619,535,437,347,289,188,11250,1688,1324,94,67,48,58,118,410,591,742,891,855,674,592,515,557,610,756,841,812,719,534,403,396,379,326,11988,1746,1531,225,142,63,61,105,383,622,756,928,861,647,664,585,616,593,736,902,792,756,584,478,408,403,367,12677,1789,1548
4,42.3475,-71.102118,Beacon Street east of Mountfort Street,June,MV,Total,78808,26269,n/a,9562,3187,n/a,10544,3515,n/a,296,194,78,73,173,467,1130,1639,1653,1509,1276,1290,1382,1403,1427,1549,1746,1814,1610,1307,1217,1004,815,450,25502,3162,3424,288,176,73,82,134,455,1153,1607,1642,1508,1336,1298,1331,1375,1401,1696,1747,1887,1659,1371,1288,1162,891,560,26120,3150,3546,328,206,116,77,139,449,1091,1589,1708,1542,1275,1268,1303,1371,1435,1690,1906,1858,1716,1526,1443,1320,1053,777,27186,3250,3574
8,42.271149,-71.093784,Blue Hill Avenue north of Rexford Street,June,MV,Total,88506,29502,n/a,11107,3702,n/a,10409,3470,n/a,372,191,109,123,240,1130,1890,2081,2041,1712,1613,1400,1453,1557,1690,1736,1632,1725,1760,1394,1174,964,782,652,29421,3753,3485,384,199,120,113,256,1030,1679,1948,1840,1664,1436,1356,1436,1532,1719,1732,1763,1664,1718,1455,1225,1079,883,734,28965,3504,3382,423,241,135,106,228,1098,1840,2011,2003,1847,1541,1380,1462,1485,1736,1738,1715,1755,1787,1544,1318,1093,879,755,30120,3850,3542
11,42.336933,-71.109369,Brookline Avenue south of Francis Street,June,MV,Total,67592,22531,n/a,7298,2433,n/a,9113,3038,n/a,246,128,83,75,199,603,1067,1305,1152,1290,1128,1078,1203,1261,1359,1509,1482,1589,1421,1161,833,686,609,587,22054,2442,3010,269,153,77,64,175,589,1025,1383,1188,1186,1172,1244,1248,1215,1347,1440,1447,1611,1470,1209,921,714,692,628,22467,2374,3081,280,171,94,63,161,552,1121,1308,1219,1263,1274,1245,1261,1315,1359,1532,1544,1564,1458,1269,964,734,697,623,23071,2482,3022
13,42.357367,-71.128213,Cambridge Street east of Lincoln Street,June,MV,Total,125835,41945,n/a,15268,5089,n/a,15020,5007,n/a,535,329,205,129,308,878,1715,2592,2702,2239,2052,2098,2089,2131,2341,2423,2610,2621,2520,2215,2034,1961,1405,960,41092,4941,5141,534,314,192,151,257,885,1711,2600,2704,2353,2098,2096,2258,2406,2367,2476,2506,2582,2432,2405,2256,2023,1560,1021,42187,5057,5014,613,379,246,160,314,844,1766,2598,2847,2423,2055,2174,2192,2305,2367,2502,2409,2438,2427,2396,2082,2033,1647,1339,42556,5270,4865
16,42.310968,-71.114596,Centre Street north of Harris Avenue,June,MV,Total,41024,13675,n/a,4796,1599,n/a,4634,1545,n/a,158,64,63,38,103,319,711,924,846,757,688,675,726,783,824,794,831,822,787,752,662,576,442,330,13675,1603,1609,124,84,72,60,110,321,719,945,833,752,784,787,774,804,700,756,784,786,761,753,655,552,497,369,13782,1585,1547,182,88,56,45,111,328,700,981,848,760,741,706,773,680,728,754,770,770,708,707,721,599,454,357,13567,1608,1478
21,42.309143,-71.074006,Columbia Road south of Intervale Street,June,MV,Total,112657,37552,n/a,12777,4259,n/a,14568,4856,n/a,482,317,230,184,311,879,1663,2320,2319,2101,1758,1736,1917,1908,2088,2395,2546,2541,2282,1865,1788,1524,1183,933,37270,4420,4823,515,324,214,203,328,854,1600,2216,2230,1939,1789,1811,1899,2027,2142,2426,2549,2611,2252,1984,1752,1598,1312,1094,37669,4169,4863,623,389,250,226,323,864,1564,2229,2206,1982,1718,1797,1898,1930,2076,2449,2303,2506,2376,2052,1870,1769,1278,1040,37718,4188,4882
23,42.344238,-71.077171,Columbus Avenue west of Holyoke Street,June,MV,Total,29040,9680,n/a,3334,1111,n/a,3981,1327,n/a,97,77,49,25,67,140,306,509,527,539,478,614,624,535,617,625,652,702,606,470,391,350,289,212,9501,1066,1308,99,74,43,37,48,164,300,549,601,512,520,519,575,499,522,626,648,643,660,510,425,376,316,226,9492,1113,1303,138,63,63,35,69,146,292,503,569,586,515,527,541,556,615,658,689,728,642,577,496,372,372,295,10047,1155,1370
25,42.352847,-71.073843,Commonwealth Avenue east of Berkeley St,June,MV,Total,35697,11899,n/a,4689,1563,n/a,5569,1856,n/a,77,54,34,17,38,122,266,567,822,756,692,725,773,774,690,729,902,963,814,525,501,419,303,167,11730,1578,1777,107,59,34,19,37,123,298,629,860,704,750,788,685,634,652,797,1008,1041,885,535,394,342,312,170,11863,1564,1926,105,76,38,37,33,125,277,594,832,715,677,719,709,684,699,838,893,888,978,668,449,362,369,339,12104,1547,1866
26,42.349413,-71.100681,Commonwealth Avenue west of Silber Way,June,MV,Total,39575,13192,n/a,4976,1659,n/a,5653,1884,n/a,157,102,63,48,57,185,333,571,914,863,708,705,852,781,763,747,884,1009,741,610,616,561,380,332,12982,1777,1750,179,105,67,52,72,192,343,555,826,804,765,805,847,820,740,759,862,1032,831,664,621,585,482,353,13361,1630,1863,213,139,56,34,61,197,321,533,800,769,753,762,813,760,715,747,877,1206,834,592,575,535,523,417,13232,1569,2040
